# NUMPAGES AverageAccessTime_ns
1 1.62900000000000000000
2 1.37100000000000000000
4 1.42100000000000000000
8 1.53900000000000000000
16 3.24700000000000000000
32 5.49600000000000000000
64 5.94000000000000000000
128 5.94700000000000000000
256 5.99100000000000000000
512 11.70500000000000000000
1024 12.07600000000000000000
2048 11.07700000000000000000
4096 11.27700000000000000000
